ID,duration,wav,spk_id,wrd
loc_005-STE-097,0.8210625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-097.wav,097,a búg fón
loc_005-STE-094,1.04625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-094.wav,094,ngə mə yəmə
loc_005-STE-091,1.4771875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-091.wav,091,wa dzáɛ abǒg
loc_005-STE-090,1.2971875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-090.wav,090,a tádi nə ayón
loc_005-STE-092,1.6793125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-092.wav,092,bí yə̄gé abuí
loc_005-STE-099,1.0846875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-099.wav,099,a nə ewólo
loc_005-STE-093,1.442125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-093.wav,093,miǹkúd myávín
loc_005-STE-096,1.258375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-096.wav,096,a bə́ âfúb
loc_005-STE-088,1.027375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-088.wav,088,ma wóg sɔ́m
loc_005-STE-089,1.91375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-089.wav,089,a dúgan á ndá dzié
loc_005-STE-098,1.3600625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-098.wav,098,a daŋ nyəb á dzǎl
loc_005-STE-082,1.373625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-082.wav,082,ma dzə́ŋ bílɔ́g
loc_005-STE-079,1.50975,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-079.wav,079,ma və́ wa ǹtsogán
loc_005-STE-077,1.1003125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-077.wav,077,bə́ nə ā zěn
loc_005-STE-072,1.19025,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-072.wav,072,ma yəm afan
loc_005-STE-087,1.1495625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-087.wav,087,a yen mininagá
loc_005-STE-075,1.2813125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-075.wav,075,a bɔ́ bía m̀bəŋ
loc_005-STE-073,0.969875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-073.wav,073,a bɔ́d m̀bəŋ
loc_005-STE-076,1.6079375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-076.wav,076,bəyə́bə yǎ dzāl
loc_005-STE-071,1.06325,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-071.wav,071,a dzə́m m̀bəŋ
loc_005-STE-066,1.3596875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-066.wav,066,bə́ nə bɔ̌bə̄dzǎŋ
loc_005-STE-067,1.738,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-067.wav,067,ńnyə anə́ ńtól
loc_005-STE-083,1.7084375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-083.wav,083,a bələ̄ dzwé dáma
loc_005-STE-064,1.5535,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-064.wav,064,esɔ́á anə vé
loc_005-STE-081,1.02925,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-081.wav,081,mə̌ sende
loc_005-STE-101,1.3078125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-101.wav,101,bí yə̄gé abuí bí yə̄gé abuí bí yə̄gé abuí
loc_005-STE-085,0.6728125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-085.wav,085,yám
loc_005-STE-100,1.1755625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-100.wav,100,wa dzáɛ abǒg wa dzáɛ abǒg wa dzáɛ abǒg
loc_005-STE-069,1.2830625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-069.wav,069,bikai bí nə
loc_005-STE-059,1.56125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-059.wav,059,vááni nyé bídí
loc_005-STE-080,1.472,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-080.wav,080,dzam éngóngɔ́l
loc_005-STE-102,1.763,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-102.wav,102,miǹkúd myávín miǹkúd myávín miǹkúd myávín
loc_005-STE-055,1.2996875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-055.wav,055,a nə ebyandí
loc_005-STE-057,1.8200625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-057.wav,057,a bə̌bə ǹló dzóbo
