ID,duration,wav,spk_id,wrd
loc_005-STE-066,1.3596875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-066.wav,066,bə́ nə bɔ̌bə̄dzǎŋ
loc_005-STE-021,1.8105625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-021.wav,021,mǎnyǎŋ wama ayilúg
loc_005-STE-027,3.533625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-027.wav,027,bəfám yǎ dzāl bá lɛ̂ á élé ásí
loc_005-STE-031,2.872625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-031.wav,031,ongɔlɔ anə m̀fəfə́g mod
loc_005-STE-102,1.763,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-102.wav,102,ǹnǒm mod élé ásí
loc_005-STE-060,0.7665,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-060.wav,060,a wɔ́bɔ
loc_005-STE-085,0.6728125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-085.wav,085,yám
loc_005-STE-093,1.442125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-093.wav,093,miǹkúd myávín
loc_005-STE-062,1.3565625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-062.wav,062,mvyě e nə vé
loc_005-STE-083,1.7084375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-083.wav,083,a bələ̄ dzwé dáma
loc_005-STE-055,1.2996875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-055.wav,055,a nə ebyandí
loc_005-STE-078,1.888,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-078.wav,078,a tádi nə̌ atyé m̀bíl
loc_005-STE-013,1.11225,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-013.wav,013,o nə kaiza
loc_005-STE-075,1.2813125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-075.wav,075,a bɔ́ bía m̀bəŋ
loc_005-STE-042,1.0798125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-042.wav,042,ma yón âfan
loc_005-STE-056,0.9145625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-056.wav,056,a nə fəg
loc_005-STE-023,1.856875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-023.wav,023,é miníngá nyɔ́ a nyəb
loc_005-STE-058,1.1483125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-058.wav,058,ma kə kə óyɔ́
loc_005-STE-007,1.361125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-007.wav,007,bə́sə bə́ nə mvɔɛ́
loc_005-STE-016,1.856,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-016.wav,016,ma wóg ekódé
loc_005-STE-069,1.2830625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-069.wav,069,bikai bí nə
loc_005-STE-048,0.8628125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-048.wav,048,ma kɔn
loc_005-STE-038,1.1209375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-038.wav,038,ma bad tsog
loc_005-STE-052,0.97675,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-052.wav,052,ma fas
loc_005-STE-088,1.027375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-088.wav,088,ma wóg sɔ́m
loc_005-STE-054,0.71975,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-054.wav,054,wa ding
loc_005-STE-018,1.057125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-018.wav,018,mə nə abum
loc_005-STE-072,1.19025,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-072.wav,072,ma yəm afan
loc_005-STE-087,1.1495625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-087.wav,087,a yen mininagá
loc_005-STE-084,1.139,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-084.wav,084,ma kus biyé
loc_005-STE-008,0.952875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-008.wav,008,ma kə ǎfub
loc_005-STE-081,1.02925,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-081.wav,081,mə̌ sende
loc_005-STE-010,1.294625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-010.wav,010,ma kə á ǹsom
loc_005-STE-003,2.3634375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-003.wav,003,yə ndâ bod dzoe e nə mvoɛ́
loc_005-STE-035,1.95725,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-035.wav,035,mayi nə̄ madí
loc_005-STE-097,0.8210625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-097.wav,097,a búg fón
loc_005-STE-043,1.586375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-043.wav,043,evúndi yá lod
loc_005-STE-029,2.546875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-029.wav,029,kúb ya lɔ́ŋ á kídí
loc_005-STE-006,0.992375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-006.wav,006,mə nə mvɔɛ́
loc_005-STE-032,2.1279375,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-032.wav,032,bə́ngɔnɔ anyú mə́ndím
loc_005-STE-041,1.4085625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-041.wav,041,ma ding və wa
loc_005-STE-011,1.06775,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-011.wav,011,a kə á mákíd
loc_005-STE-099,1.0846875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-099.wav,099,a nə ewólo
loc_005-STE-051,0.9855625,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-051.wav,051,wa sɔ́ vé
loc_005-STE-101,1.3078125,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-101.wav,101,o nə engongɔ́l
loc_005-STE-063,2.2846875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-063.wav,063,etǔn ndá dzáma é nə vé
loc_005-STE-040,1.4136875,datasets/Phrases/train/multi-speakers/Corpus Phrases simples/loc_005/STE-040.wav,040,mim̀bú myálod
